target	collocate	f_x_target	f_y_collocate	f_xy_cooc	logDice	window	min_f_y	min_f_xy	min_logDice
muslim_norp	say	2919	1026	44	8.514	+/-5	10	10	5.0
muslim_norp	number	2919	502	38	8.508	+/-5	10	10	5.0
muslim_norp	see	2919	693	40	8.503	+/-5	10	10	5.0
muslim_norp	would	2919	1568	49	8.483	+/-5	10	10	5.0
muslim_norp	now	2919	760	40	8.477	+/-5	10	10	5.0
muslim_norp	because	2919	784	40	8.467	+/-5	10	10	5.0
muslim_norp	year	2919	1012	42	8.452	+/-5	10	10	5.0
muslim_norp	some	2919	981	41	8.428	+/-5	10	10	5.0
muslim_norp	immigrant	2919	189	32	8.398	+/-5	10	10	5.0
muslim_norp	convert	2919	222	32	8.383	+/-5	10	10	5.0
muslim_norp	sharia	2919	226	32	8.381	+/-5	10	10	5.0
muslim_norp	make	2919	1179	41	8.357	+/-5	10	10	5.0
muslim_norp	over	2919	615	35	8.342	+/-5	10	10	5.0
muslim_norp	west	2919	422	33	8.338	+/-5	10	10	5.0
muslim_norp	no	2919	1241	41	8.335	+/-5	10	10	5.0
muslim_norp	attack	2919	542	34	8.33	+/-5	10	10	5.0
muslim_norp	what	2919	1074	39	8.322	+/-5	10	10	5.0
muslim_norp	these	2919	1309	41	8.312	+/-5	10	10	5.0
muslim_norp	also	2919	1082	38	8.282	+/-5	10	10	5.0
muslim_norp	leader	2919	452	32	8.281	+/-5	10	10	5.0
muslim_norp	land	2919	282	30	8.263	+/-5	10	10	5.0
muslim_norp	so	2919	1353	40	8.261	+/-5	10	10	5.0
muslim_norp	our	2919	1891	45	8.26	+/-5	10	10	5.0
muslim_norp	call	2919	612	33	8.259	+/-5	10	10	5.0
muslim_norp	his	2919	1468	41	8.259	+/-5	10	10	5.0
muslim_norp	must	2919	837	35	8.254	+/-5	10	10	5.0
muslim_norp	nation	2919	490	31	8.219	+/-5	10	10	5.0
muslim_norp	lebanon	2919	285	29	8.212	+/-5	10	10	5.0
muslim_norp	arab	2919	405	30	8.208	+/-5	10	10	5.0
muslim_norp	people	2919	1630	41	8.206	+/-5	10	10	5.0
muslim_norp	area	2919	323	29	8.195	+/-5	10	10	5.0
muslim_norp	law	2919	579	31	8.182	+/-5	10	10	5.0
muslim_norp	very	2919	765	32	8.153	+/-5	10	10	5.0
muslim_norp	today	2919	435	29	8.146	+/-5	10	10	5.0
muslim_norp	europeans	2919	469	29	8.132	+/-5	10	10	5.0
muslim_norp	child	2919	472	29	8.13	+/-5	10	10	5.0
muslim_norp	same	2919	498	29	8.119	+/-5	10	10	5.0
muslim_norp	under	2919	623	30	8.117	+/-5	10	10	5.0
muslim_norp	time	2919	1136	34	8.102	+/-5	10	10	5.0
muslim_norp	could	2919	572	29	8.089	+/-5	10	10	5.0
muslim_norp	jews	2919	318	26	8.04	+/-5	10	10	5.0
muslim_norp	its	2919	1071	32	8.038	+/-5	10	10	5.0
muslim_norp	minority	2919	208	25	8.033	+/-5	10	10	5.0
muslim_norp	high	2919	607	28	8.024	+/-5	10	10	5.0
muslim_norp	civil	2919	271	25	8.005	+/-5	10	10	5.0
muslim_norp	radical	2919	158	24	7.998	+/-5	10	10	5.0
muslim_norp	how	2919	697	28	7.987	+/-5	10	10	5.0
muslim_norp	society	2919	588	27	7.979	+/-5	10	10	5.0
muslim_norp	riot	2919	77	23	7.975	+/-5	10	10	5.0
muslim_norp	like	2919	732	28	7.973	+/-5	10	10	5.0
muslim_norp	after	2919	877	29	7.968	+/-5	10	10	5.0
muslim_norp	power	2919	756	28	7.964	+/-5	10	10	5.0
muslim_norp	peaceful	2919	100	23	7.964	+/-5	10	10	5.0
muslim_norp	rule	2919	388	25	7.953	+/-5	10	10	5.0
muslim_norp	al	2919	669	27	7.946	+/-5	10	10	5.0
muslim_norp	every	2919	412	25	7.942	+/-5	10	10	5.0
muslim_norp	both	2919	419	25	7.939	+/-5	10	10	5.0
muslim_norp	commit	2919	160	23	7.935	+/-5	10	10	5.0
muslim_norp	france	2919	295	24	7.935	+/-5	10	10	5.0
muslim_norp	those	2919	576	26	7.929	+/-5	10	10	5.0
muslim_norp	source	2919	459	25	7.922	+/-5	10	10	5.0
muslim_norp	may	2919	910	28	7.905	+/-5	10	10	5.0
muslim_norp	right	2919	792	27	7.897	+/-5	10	10	5.0
muslim_norp	such	2919	940	28	7.893	+/-5	10	10	5.0
muslim_norp	remain	2919	263	23	7.888	+/-5	10	10	5.0
muslim_norp	since	2919	410	24	7.884	+/-5	10	10	5.0
muslim_norp	continue	2919	413	24	7.883	+/-5	10	10	5.0
muslim_norp	through	2919	692	26	7.882	+/-5	10	10	5.0
muslim_norp	way	2919	698	26	7.88	+/-5	10	10	5.0
muslim_norp	take	2919	982	28	7.878	+/-5	10	10	5.0
muslim_norp	up	2919	1018	28	7.864	+/-5	10	10	5.0
muslim_norp	individual	2919	739	26	7.864	+/-5	10	10	5.0
muslim_norp	view	2919	346	23	7.851	+/-5	10	10	5.0
muslim_norp	first	2919	701	25	7.822	+/-5	10	10	5.0
muslim_norp	india	2919	133	21	7.817	+/-5	10	10	5.0
muslim_norp	themselves	2919	316	22	7.8	+/-5	10	10	5.0
muslim_norp	increase	2919	325	22	7.796	+/-5	10	10	5.0
muslim_norp	come	2919	627	24	7.793	+/-5	10	10	5.0
muslim_norp	around	2919	347	22	7.786	+/-5	10	10	5.0
muslim_norp	former	2919	215	21	7.779	+/-5	10	10	5.0
muslim_norp	dominate	2919	80	20	7.772	+/-5	10	10	5.0
muslim_norp	however	2919	681	24	7.771	+/-5	10	10	5.0
muslim_norp	use	2919	1735	31	7.77	+/-5	10	10	5.0
muslim_norp	until	2919	387	22	7.769	+/-5	10	10	5.0
muslim_norp	control	2919	389	22	7.768	+/-5	10	10	5.0
muslim_norp	religion	2919	432	22	7.749	+/-5	10	10	5.0
muslim_norp	long	2919	740	24	7.748	+/-5	10	10	5.0
muslim_norp	why	2919	440	22	7.746	+/-5	10	10	5.0
muslim_norp	accord	2919	453	22	7.74	+/-5	10	10	5.0
muslim_norp	still	2919	462	22	7.736	+/-5	10	10	5.0
muslim_norp	follow	2919	487	22	7.726	+/-5	10	10	5.0
muslim_norp	reach	2919	186	20	7.722	+/-5	10	10	5.0
muslim_norp	bosnia	2919	217	20	7.707	+/-5	10	10	5.0
muslim_norp	then	2919	695	23	7.704	+/-5	10	10	5.0
muslim_norp	religious	2919	389	21	7.701	+/-5	10	10	5.0
muslim_norp	slavery	2919	113	19	7.682	+/-5	10	10	5.0
muslim_norp	mean	2919	452	21	7.673	+/-5	10	10	5.0
muslim_norp	organisation	2919	469	21	7.666	+/-5	10	10	5.0
muslim_norp	government	2919	794	23	7.665	+/-5	10	10	5.0
muslim_norp	local	2919	167	19	7.656	+/-5	10	10	5.0
muslim_norp	city	2919	331	20	7.656	+/-5	10	10	5.0
muslim_norp	century	2919	527	21	7.642	+/-5	10	10	5.0
muslim_norp	i	2919	4666	46	7.635	+/-5	10	10	5.0
muslim_norp	ruler	2919	88	18	7.616	+/-5	10	10	5.0
muslim_norp	per	2919	267	19	7.61	+/-5	10	10	5.0
muslim_norp	well	2919	778	22	7.607	+/-5	10	10	5.0
muslim_norp	syria	2919	116	18	7.602	+/-5	10	10	5.0
muslim_norp	once	2919	286	19	7.602	+/-5	10	10	5.0
muslim_norp	fight	2919	461	20	7.599	+/-5	10	10	5.0
muslim_norp	consider	2919	504	20	7.581	+/-5	10	10	5.0
muslim_norp	point	2919	505	20	7.58	+/-5	10	10	5.0
muslim_norp	towards	2919	169	18	7.577	+/-5	10	10	5.0
muslim_norp	oppose	2919	177	18	7.574	+/-5	10	10	5.0
muslim_norp	young	2919	180	18	7.572	+/-5	10	10	5.0
muslim_norp	believe	2919	353	19	7.572	+/-5	10	10	5.0
muslim_norp	know	2919	876	22	7.57	+/-5	10	10	5.0
muslim_norp	death	2919	362	19	7.568	+/-5	10	10	5.0
muslim_norp	try	2919	368	19	7.565	+/-5	10	10	5.0
muslim_norp	violence	2919	214	18	7.557	+/-5	10	10	5.0
muslim_norp	fear	2919	225	18	7.552	+/-5	10	10	5.0
muslim_norp	citizen	2919	225	18	7.552	+/-5	10	10	5.0
muslim_norp	rate	2919	232	18	7.548	+/-5	10	10	5.0
muslim_norp	show	2919	271	18	7.531	+/-5	10	10	5.0
muslim_norp	claim	2919	272	18	7.53	+/-5	10	10	5.0
muslim_norp	you	2919	3353	35	7.515	+/-5	10	10	5.0
muslim_norp	history	2919	498	19	7.509	+/-5	10	10	5.0
muslim_norp	youth	2919	170	17	7.495	+/-5	10	10	5.0
muslim_norp	much	2919	542	19	7.491	+/-5	10	10	5.0
muslim_norp	never	2919	425	18	7.463	+/-5	10	10	5.0
muslim_norp	hindus	2919	70	16	7.455	+/-5	10	10	5.0
muslim_norp	large	2919	631	19	7.454	+/-5	10	10	5.0
muslim_norp	several	2919	447	18	7.453	+/-5	10	10	5.0
muslim_norp	good	2919	639	19	7.451	+/-5	10	10	5.0
muslim_norp	multiculturalism	2919	455	18	7.45	+/-5	10	10	5.0
muslim_norp	accept	2919	268	17	7.449	+/-5	10	10	5.0
muslim_norp	political	2919	1214	22	7.446	+/-5	10	10	5.0
muslim_norp	birth	2919	106	16	7.437	+/-5	10	10	5.0
muslim_norp	tell	2919	304	17	7.433	+/-5	10	10	5.0
muslim_norp	throughout	2919	124	16	7.429	+/-5	10	10	5.0
muslim_norp	just	2919	705	19	7.425	+/-5	10	10	5.0
muslim_norp	demographic	2919	135	16	7.424	+/-5	10	10	5.0
muslim_norp	often	2919	326	17	7.423	+/-5	10	10	5.0
muslim_norp	result	2919	518	18	7.423	+/-5	10	10	5.0
muslim_norp	thus	2919	331	17	7.421	+/-5	10	10	5.0
muslim_norp	write	2919	335	17	7.419	+/-5	10	10	5.0
muslim_norp	lie	2919	150	16	7.416	+/-5	10	10	5.0
muslim_norp	territory	2919	151	16	7.416	+/-5	10	10	5.0
muslim_norp	life	2919	538	18	7.415	+/-5	10	10	5.0
muslim_norp	uk	2919	172	16	7.406	+/-5	10	10	5.0
muslim_norp	here	2919	214	16	7.387	+/-5	10	10	5.0
muslim_norp	regard	2919	239	16	7.375	+/-5	10	10	5.0
muslim_norp	israel	2919	242	16	7.374	+/-5	10	10	5.0
muslim_norp	already	2919	249	16	7.371	+/-5	10	10	5.0
muslim_norp	day	2919	650	18	7.369	+/-5	10	10	5.0
muslim_norp	part	2919	661	18	7.364	+/-5	10	10	5.0
muslim_norp	atrocity	2919	82	15	7.356	+/-5	10	10	5.0
muslim_norp	militant	2919	86	15	7.354	+/-5	10	10	5.0
muslim_norp	girl	2919	104	15	7.345	+/-5	10	10	5.0
muslim_norp	average	2919	115	15	7.34	+/-5	10	10	5.0
muslim_norp	massacre	2919	118	15	7.338	+/-5	10	10	5.0
muslim_norp	start	2919	366	16	7.318	+/-5	10	10	5.0
muslim_norp	new	2919	793	18	7.312	+/-5	10	10	5.0
muslim_norp	grow	2919	196	15	7.302	+/-5	10	10	5.0
muslim_norp	during	2919	614	17	7.301	+/-5	10	10	5.0
muslim_norp	turkey	2919	231	15	7.286	+/-5	10	10	5.0
muslim_norp	turn	2919	237	15	7.283	+/-5	10	10	5.0
muslim_norp	understand	2919	244	15	7.28	+/-5	10	10	5.0
muslim_norp	university	2919	285	15	7.261	+/-5	10	10	5.0
muslim_norp	fellow	2919	75	14	7.259	+/-5	10	10	5.0
muslim_norp	cause	2919	511	16	7.256	+/-5	10	10	5.0
muslim_norp	go	2919	743	17	7.249	+/-5	10	10	5.0
muslim_norp	arabs	2919	101	14	7.247	+/-5	10	10	5.0
muslim_norp	cultural	2919	1416	20	7.24	+/-5	10	10	5.0
muslim_norp	pakistan	2919	121	14	7.237	+/-5	10	10	5.0
muslim_norp	murder	2919	153	14	7.222	+/-5	10	10	5.0
muslim_norp	matter	2919	162	14	7.218	+/-5	10	10	5.0
muslim_norp	turks	2919	172	14	7.213	+/-5	10	10	5.0
muslim_norp	bad	2919	185	14	7.207	+/-5	10	10	5.0
muslim_norp	too	2919	407	15	7.207	+/-5	10	10	5.0
muslim_norp	threat	2919	205	14	7.198	+/-5	10	10	5.0
muslim_norp	find	2919	444	15	7.191	+/-5	10	10	5.0
muslim_norp	example	2919	446	15	7.19	+/-5	10	10	5.0
muslim_norp	begin	2919	234	14	7.185	+/-5	10	10	5.0
muslim_norp	army	2919	250	14	7.178	+/-5	10	10	5.0
muslim_norp	ghetto	2919	29	13	7.175	+/-5	10	10	5.0
muslim_norp	yet	2919	258	14	7.174	+/-5	10	10	5.0
muslim_norp	need	2919	712	16	7.174	+/-5	10	10	5.0
muslim_norp	my	2919	1170	18	7.172	+/-5	10	10	5.0
muslim_norp	military	2919	716	16	7.172	+/-5	10	10	5.0
muslim_norp	poor	2919	77	13	7.152	+/-5	10	10	5.0
muslim_norp	before	2919	546	15	7.148	+/-5	10	10	5.0
muslim_norp	scholar	2919	90	13	7.145	+/-5	10	10	5.0
muslim_norp	leave	2919	338	14	7.138	+/-5	10	10	5.0
muslim_norp	refuse	2919	167	13	7.109	+/-5	10	10	5.0
muslim_norp	describe	2919	174	13	7.106	+/-5	10	10	5.0
muslim_norp	offer	2919	178	13	7.104	+/-5	10	10	5.0
muslim_norp	family	2919	442	14	7.093	+/-5	10	10	5.0
muslim_norp	school	2919	450	14	7.089	+/-5	10	10	5.0
muslim_norp	open	2919	211	13	7.088	+/-5	10	10	5.0
muslim_norp	crime	2919	212	13	7.088	+/-5	10	10	5.0
muslim_norp	warfare	2919	214	13	7.087	+/-5	10	10	5.0
muslim_norp	thousand	2919	215	13	7.087	+/-5	10	10	5.0
muslim_norp	christianity	2919	222	13	7.083	+/-5	10	10	5.0
muslim_norp	ethnic	2919	225	13	7.082	+/-5	10	10	5.0
muslim_norp	case	2919	484	14	7.075	+/-5	10	10	5.0
muslim_norp	especially	2919	247	13	7.072	+/-5	10	10	5.0
muslim_norp	different	2919	255	13	7.068	+/-5	10	10	5.0
muslim_norp	worldwide	2919	37	12	7.056	+/-5	10	10	5.0
muslim_norp	aggression	2919	40	12	7.054	+/-5	10	10	5.0
muslim_norp	allah	2919	293	13	7.051	+/-5	10	10	5.0
muslim_norp	modern	2919	295	13	7.05	+/-5	10	10	5.0
muslim_norp	culture	2919	545	14	7.049	+/-5	10	10	5.0
muslim_norp	early	2919	299	13	7.048	+/-5	10	10	5.0
muslim_norp	enemy	2919	317	13	7.04	+/-5	10	10	5.0
muslim_norp	fact	2919	572	14	7.038	+/-5	10	10	5.0
muslim_norp	balkans	2919	93	12	7.028	+/-5	10	10	5.0
muslim_norp	secular	2919	100	12	7.025	+/-5	10	10	5.0
muslim_norp	two	2919	604	14	7.025	+/-5	10	10	5.0
muslim_norp	change	2919	354	13	7.024	+/-5	10	10	5.0
muslim_norp	within	2919	354	13	7.024	+/-5	10	10	5.0
muslim_norp	conquest	2919	116	12	7.017	+/-5	10	10	5.0
muslim_norp	persecution	2919	118	12	7.017	+/-5	10	10	5.0
muslim_norp	infidel	2919	128	12	7.012	+/-5	10	10	5.0
muslim_norp	pro	2919	143	12	7.005	+/-5	10	10	5.0
muslim_norp	practice	2919	147	12	7.003	+/-5	10	10	5.0
muslim_norp	africa	2919	157	12	6.998	+/-5	10	10	5.0
muslim_norp	violent	2919	159	12	6.997	+/-5	10	10	5.0
muslim_norp	down	2919	437	13	6.988	+/-5	10	10	5.0
muslim_norp	work	2919	704	14	6.984	+/-5	10	10	5.0
muslim_norp	true	2919	205	12	6.976	+/-5	10	10	5.0
muslim_norp	create	2919	734	14	6.972	+/-5	10	10	5.0
muslim_norp	british	2919	225	12	6.967	+/-5	10	10	5.0
muslim_norp	various	2919	259	12	6.951	+/-5	10	10	5.0
muslim_norp	each	2919	291	12	6.937	+/-5	10	10	5.0
muslim_norp	harass	2919	46	11	6.926	+/-5	10	10	5.0
muslim_norp	marry	2919	53	11	6.922	+/-5	10	10	5.0
muslim_norp	prayer	2919	54	11	6.922	+/-5	10	10	5.0
muslim_norp	far	2919	334	12	6.917	+/-5	10	10	5.0
muslim_norp	act	2919	339	12	6.915	+/-5	10	10	5.0
muslim_norp	albanians	2919	68	11	6.915	+/-5	10	10	5.0
muslim_norp	permit	2919	77	11	6.911	+/-5	10	10	5.0
muslim_norp	attitude	2919	78	11	6.91	+/-5	10	10	5.0
muslim_norp	problem	2919	351	12	6.91	+/-5	10	10	5.0
muslim_norp	ummah	2919	80	11	6.909	+/-5	10	10	5.0
muslim_norp	across	2919	104	11	6.898	+/-5	10	10	5.0
muslim_norp	arabic	2919	107	11	6.896	+/-5	10	10	5.0
muslim_norp	dialogue	2919	121	11	6.89	+/-5	10	10	5.0
muslim_norp	nationalism	2919	132	11	6.884	+/-5	10	10	5.0
muslim_norp	slave	2919	144	11	6.879	+/-5	10	10	5.0
muslim_norp	estimate	2919	147	11	6.877	+/-5	10	10	5.0
muslim_norp	britain	2919	149	11	6.876	+/-5	10	10	5.0
muslim_norp	north	2919	160	11	6.871	+/-5	10	10	5.0
muslim_norp	saudi	2919	184	11	6.86	+/-5	10	10	5.0
muslim_norp	eastern	2919	198	11	6.853	+/-5	10	10	5.0
muslim_norp	effort	2919	200	11	6.853	+/-5	10	10	5.0
muslim_norp	stop	2919	203	11	6.851	+/-5	10	10	5.0
muslim_norp	pay	2919	204	11	6.851	+/-5	10	10	5.0
muslim_norp	traditional	2919	204	11	6.851	+/-5	10	10	5.0
muslim_norp	phase	2919	489	12	6.85	+/-5	10	10	5.0
muslim_norp	united	2919	237	11	6.836	+/-5	10	10	5.0
muslim_norp	face	2919	237	11	6.836	+/-5	10	10	5.0
muslim_norp	choose	2919	246	11	6.831	+/-5	10	10	5.0
muslim_norp	again	2919	254	11	6.828	+/-5	10	10	5.0
muslim_norp	avoid	2919	262	11	6.824	+/-5	10	10	5.0
muslim_norp	muhammad	2919	281	11	6.816	+/-5	10	10	5.0
muslim_norp	east	2919	281	11	6.816	+/-5	10	10	5.0
muslim_norp	possible	2919	296	11	6.809	+/-5	10	10	5.0
muslim_norp	three	2919	309	11	6.803	+/-5	10	10	5.0
muslim_norp	enclave	2919	16	10	6.803	+/-5	10	10	5.0
muslim_norp	battle	2919	320	11	6.798	+/-5	10	10	5.0
muslim_norp	favour	2919	57	10	6.783	+/-5	10	10	5.0
muslim_norp	neighbour	2919	62	10	6.78	+/-5	10	10	5.0
muslim_norp	small	2919	373	11	6.775	+/-5	10	10	5.0
muslim_norp	boy	2919	78	10	6.773	+/-5	10	10	5.0
muslim_norp	reason	2919	378	11	6.772	+/-5	10	10	5.0
muslim_norp	toward	2919	84	10	6.77	+/-5	10	10	5.0
muslim_norp	extremist	2919	84	10	6.77	+/-5	10	10	5.0
muslim_norp	etc	2919	389	11	6.768	+/-5	10	10	5.0
muslim_norp	respect	2919	98	10	6.763	+/-5	10	10	5.0
muslim_norp	few	2919	401	11	6.762	+/-5	10	10	5.0
muslim_norp	teach	2919	106	10	6.759	+/-5	10	10	5.0
muslim_norp	party	2919	712	12	6.759	+/-5	10	10	5.0
muslim_norp	particular	2919	109	10	6.758	+/-5	10	10	5.0
muslim_norp	term	2919	412	11	6.758	+/-5	10	10	5.0
muslim_norp	whose	2919	121	10	6.752	+/-5	10	10	5.0
muslim_norp	egypt	2919	124	10	6.751	+/-5	10	10	5.0
muslim_norp	kosovo	2919	124	10	6.751	+/-5	10	10	5.0
muslim_norp	win	2919	130	10	6.748	+/-5	10	10	5.0
muslim_norp	conflict	2919	134	10	6.746	+/-5	10	10	5.0
muslim_norp	mind	2919	144	10	6.741	+/-5	10	10	5.0
muslim_norp	pressure	2919	147	10	6.74	+/-5	10	10	5.0
muslim_norp	whole	2919	149	10	6.739	+/-5	10	10	5.0
muslim_norp	form	2919	461	11	6.737	+/-5	10	10	5.0
muslim_norp	vote	2919	156	10	6.736	+/-5	10	10	5.0
muslim_norp	either	2919	190	10	6.72	+/-5	10	10	5.0
muslim_norp	russia	2919	206	10	6.712	+/-5	10	10	5.0
muslim_norp	close	2919	215	10	6.708	+/-5	10	10	5.0
muslim_norp	norway	2919	218	10	6.707	+/-5	10	10	5.0
muslim_norp	struggle	2919	219	10	6.706	+/-5	10	10	5.0
muslim_norp	terrorist	2919	219	10	6.706	+/-5	10	10	5.0
muslim_norp	eu	2919	540	11	6.703	+/-5	10	10	5.0
muslim_norp	end	2919	541	11	6.703	+/-5	10	10	5.0
muslim_norp	influence	2919	260	10	6.688	+/-5	10	10	5.0
muslim_norp	instead	2919	277	10	6.68	+/-5	10	10	5.0
muslim_norp	anti	2919	600	11	6.678	+/-5	10	10	5.0
muslim_norp	get	2919	600	11	6.678	+/-5	10	10	5.0
muslim_norp	public	2919	302	10	6.669	+/-5	10	10	5.0
muslim_norp	middle	2919	306	10	6.667	+/-5	10	10	5.0
muslim_norp	ottoman	2919	326	10	6.658	+/-5	10	10	5.0
muslim_norp	own	2919	707	11	6.635	+/-5	10	10	5.0
muslim_norp	social	2919	411	10	6.621	+/-5	10	10	5.0
muslim_norp	without	2919	440	10	6.608	+/-5	10	10	5.0
muslim_norp	place	2919	451	10	6.603	+/-5	10	10	5.0
muslim_norp	policy	2919	478	10	6.592	+/-5	10	10	5.0
muslim_norp	order	2919	841	11	6.583	+/-5	10	10	5.0
muslim_norp	your	2919	1325	11	6.408	+/-5	10	10	5.0
christian_norp	lebanon	1649	285	131	11.116	+/-5	10	10	5.0
christian_norp	jews	1649	318	94	10.613	+/-5	10	10	5.0
christian_norp	christian	1649	1152	128	10.548	+/-5	10	10	5.0
